transaction_id,customer_id,age,gender,city,category,payment_method,transaction_date,amount,is_returning_customer
27,1510,35,Female,Delhi,Electronics,Credit Card,2025-01-13,9507.11,1
1305,2112,27,Male,Pune,Home & Furniture,UPI,2025-01-13,6011.01,1
840,1333,55,Male,Chennai,Home & Furniture,UPI,2025-01-13,7699.47,1
2835,2110,41,Female,Pune,Fashion,UPI,2025-01-14,3166.26,0
3066,2036,27,Male,Mumbai,Electronics,Net Banking,2025-01-14,9280.45,0
3365,1278,61,Male,Ahmedabad,Home & Furniture,Credit Card,2025-01-14,3678.33,0
881,1922,34,Male,Hyderabad,Beauty,COD,2025-01-14,1861.47,1
1871,2005,34,Female,Mumbai,Fashion,Credit Card,2025-01-14,3161.09,0
612,1822,53,Male,Delhi,Books,Net Banking,2025-01-14,793.8,1
2438,1743,41,Female,Bangalore,Home & Furniture,UPI,2025-01-15,5281.34,0
1365,1081,24,Male,Pune,Grocery,COD,2025-01-15,1197.91,0
1912,1911,53,Female,Hyderabad,Fashion,UPI,2025-01-15,3438.55,0
2352,1875,34,Male,Kolkata,Electronics,Credit Card,2025-01-15,7296.48,1
643,2077,24,Male,Mumbai,Electronics,Credit Card,2025-01-16,7853.41,1
702,1681,59,Male,Delhi,Electronics,Credit Card,2025-01-16,5602.06,1
3377,2108,31,Male,Kolkata,Grocery,Net Banking,2025-01-16,1789.6,0
1447,1792,21,Male,Mumbai,Books,UPI,2025-01-16,424.88,0
3754,1234,50,Male,Mumbai,Sports,COD,2025-01-16,3471.98,0
1347,1780,48,Male,Hyderabad,Home & Furniture,UPI,2025-01-16,4390.07,0
539,1928,38,Male,Mumbai,Fashion,UPI,2025-01-16,1852.0,1
2662,1604,21,Female,Hyderabad,Sports,UPI,2025-01-16,3689.28,0
2786,2179,26,Female,Delhi,Grocery,Debit Card,2025-01-16,1263.67,1
3804,1528,41,Female,Mumbai,Electronics,UPI,2025-01-16,10840.13,1
738,1364,28,Male,Hyderabad,Fashion,COD,2025-01-17,2511.71,1
2366,1195,37,Female,Delhi,Beauty,UPI,2025-01-17,974.12,1
633,1033,25,Female,Delhi,Electronics,Debit Card,2025-01-17,10790.76,1
668,2019,23,Male,Hyderabad,Grocery,UPI,2025-01-17,1146.52,0
1289,2070,43,Female,Mumbai,Electronics,COD,2025-01-17,7630.96,0
3480,2174,58,Female,Delhi,Electronics,Credit Card,2025-01-18,6881.98,0
2326,1709,55,Female,Bangalore,Grocery,Debit Card,2025-01-18,1058.31,1
1115,1267,21,Female,Kolkata,Fashion,UPI,2025-01-18,1687.44,1
3946,2093,32,Female,Ahmedabad,Sports,Credit Card,2025-01-18,2582.53,0
241,1815,30,Male,Hyderabad,Home & Furniture,UPI,2025-01-18,5773.85,1
1438,1020,44,Female,Bangalore,Home & Furniture,Debit Card,2025-01-18,6431.84,1
3392,1495,33,Female,Delhi,Grocery,UPI,2025-01-18,1899.86,1
2752,1104,46,Male,Chennai,Home & Furniture,UPI,2025-01-19,6446.02,1
2535,1980,33,Female,Hyderabad,Grocery,UPI,2025-01-19,1179.15,1
130,1230,41,Female,Hyderabad,Home & Furniture,UPI,2025-01-19,6119.49,0
4000,1018,54,Male,Mumbai,Fashion,COD,2025-01-19,1332.17,1
1536,2107,50,Female,Chennai,Grocery,Credit Card,2025-01-19,1251.31,1
1263,1584,64,Male,Mumbai,Electronics,COD,2025-01-19,10917.71,1
916,2157,28,Male,Delhi,Sports,UPI,2025-01-19,2623.93,1
1714,1687,21,Male,Hyderabad,Fashion,UPI,2025-01-19,3169.18,1
1762,1342,31,Male,Bangalore,Electronics,COD,2025-01-19,9020.64,1
1997,1091,18,Male,Bangalore,Beauty,Credit Card,2025-01-19,1447.12,1
2091,1571,23,Male,Mumbai,Beauty,UPI,2025-01-19,1605.8,1
3709,1051,39,Male,Kolkata,Grocery,COD,2025-01-20,1419.29,1
392,1452,43,Female,Mumbai,Grocery,COD,2025-01-20,1492.98,0
1458,1386,62,Male,Delhi,Home & Furniture,Credit Card,2025-01-20,6470.0,1
2770,1418,62,Female,Hyderabad,Grocery,UPI,2025-01-20,1320.63,1
1408,1762,61,Male,Hyderabad,Electronics,UPI,2025-01-20,6053.89,1
3436,1072,59,Male,Hyderabad,Beauty,UPI,2025-01-20,981.92,0
1213,2194,46,Male,Mumbai,Home & Furniture,Credit Card,2025-01-21,4103.22,1
2,1860,19,Male,Delhi,Electronics,UPI,2025-01-21,8198.86,1
1280,2130,29,Male,Pune,Books,Net Banking,2025-01-21,1952.71,1
3048,1910,19,Male,Mumbai,Electronics,UPI,2025-01-21,18881.68,0
1107,1997,44,Male,Kolkata,Beauty,Credit Card,2025-01-21,1176.09,1
1774,2147,18,Female,Hyderabad,Fashion,COD,2025-01-21,3309.09,0
74,2076,19,Male,Bangalore,Books,UPI,2025-01-21,459.15,1
1945,1448,46,Male,Chennai,Home & Furniture,Debit Card,2025-01-21,5645.33,0
2540,1337,48,Female,Hyderabad,Grocery,UPI,2025-01-21,798.29,0
787,1242,53,Female,Ahmedabad,Sports,Credit Card,2025-01-21,1794.46,1
2751,1958,23,Female,Ahmedabad,Electronics,COD,2025-01-21,5710.05,1
1818,1520,53,Male,Ahmedabad,Fashion,Debit Card,2025-01-21,2476.79,1
17,1955,29,Male,Mumbai,Beauty,Credit Card,2025-01-21,1968.63,1
2499,1365,32,Male,Kolkata,Fashion,Credit Card,2025-01-21,2106.66,0
186,1463,59,Female,Delhi,Electronics,Credit Card,2025-01-21,8361.24,1
2220,1128,45,Male,Kolkata,Fashion,Net Banking,2025-01-22,4633.84,0
2466,1475,25,Female,Hyderabad,Books,Debit Card,2025-01-22,1277.61,1
3418,2125,42,Male,Delhi,Sports,Net Banking,2025-01-22,3471.6,1
3427,2024,61,Male,Hyderabad,Beauty,Debit Card,2025-01-22,3519.69,1
15,1805,22,Male,Mumbai,Fashion,Credit Card,2025-01-22,1486.96,1
560,1783,63,Female,Bangalore,Electronics,Debit Card,2025-01-22,7082.56,0
1801,1908,49,Female,Delhi,Grocery,COD,2025-01-23,1176.53,0
2549,1861,26,Male,Hyderabad,Fashion,Credit Card,2025-01-23,1855.48,1
2214,2053,27,Female,Hyderabad,Grocery,UPI,2025-01-23,3328.74,1
2708,1381,18,Male,Bangalore,Beauty,Debit Card,2025-01-23,1512.56,0
1653,1968,21,Female,Delhi,Fashion,UPI,2025-01-23,1967.0,1
2079,1020,40,Female,Hyderabad,Electronics,Credit Card,2025-01-23,8755.49,0
1236,2164,18,Male,Hyderabad,Home & Furniture,Credit Card,2025-01-23,4443.88,1
1802,1158,20,Male,Mumbai,Fashion,UPI,2025-01-23,2944.47,1
2158,1159,59,Female,Mumbai,Beauty,Credit Card,2025-01-24,998.52,1
2642,1778,60,Female,Pune,Books,UPI,2025-01-24,693.74,0
40,1166,39,Male,Chennai,Fashion,UPI,2025-01-24,2169.06,1
2490,2014,43,Male,Bangalore,Grocery,Debit Card,2025-01-24,1301.74,0
2840,1796,62,Male,Bangalore,Beauty,UPI,2025-01-24,1459.19,1
2867,1482,35,Female,Mumbai,Electronics,UPI,2025-01-24,5839.41,0
1184,2039,28,Male,Ahmedabad,Home & Furniture,Net Banking,2025-01-24,3024.27,0
3868,1897,29,Male,Bangalore,Grocery,COD,2025-01-24,929.21,1
2424,1610,24,Female,Delhi,Books,Debit Card,2025-01-24,537.92,0
939,1603,30,Female,Bangalore,Electronics,Credit Card,2025-01-24,11432.1,1
3084,1209,45,Female,Ahmedabad,Electronics,Credit Card,2025-01-25,6406.33,1
1261,1704,33,Female,Delhi,Sports,Credit Card,2025-01-25,4347.15,1
3120,1867,56,Male,Bangalore,Grocery,Net Banking,2025-01-25,1242.76,1
62,1729,37,Male,Delhi,Fashion,UPI,2025-01-25,1753.45,0
387,2070,19,Male,Hyderabad,Grocery,COD,2025-01-25,1080.08,1
446,1456,29,Female,Bangalore,Electronics,UPI,2025-01-25,6301.9,1
3891,1726,54,Female,Hyderabad,Home & Furniture,UPI,2025-01-25,11756.37,1
3593,2096,41,Male,Pune,Beauty,Net Banking,2025-01-25,2025.05,1
2020,1082,62,Male,Pune,Fashion,UPI,2025-01-25,3246.16,1
2099,1758,38,Female,Hyderabad,Grocery,UPI,2025-01-26,1102.81,0
2445,1679,19,Female,Chennai,Grocery,Net Banking,2025-01-26,970.85,1
1110,1026,37,Female,Mumbai,Fashion,Credit Card,2025-01-26,1545.04,1
124,1863,51,Female,Kolkata,Fashion,UPI,2025-01-26,2524.4,1
2639,1431,48,Male,Kolkata,Fashion,Credit Card,2025-01-26,2111.42,1
2350,1724,19,Male,Kolkata,Fashion,Debit Card,2025-01-26,3253.26,1
2197,1769,61,Female,Delhi,Books,Net Banking,2025-01-26,637.51,1
433,1604,43,Female,Mumbai,Fashion,UPI,2025-01-26,1447.97,0
166,1384,19,Male,Hyderabad,Sports,Credit Card,2025-01-26,3605.57,1
2414,2089,59,Male,Delhi,Electronics,Debit Card,2025-01-26,9511.4,0
614,1475,23,Female,Delhi,Home & Furniture,UPI,2025-01-27,8234.44,1
2122,1147,43,Male,Kolkata,Electronics,Net Banking,2025-01-27,6898.58,0
3180,1607,33,Male,Hyderabad,Grocery,UPI,2025-01-27,1562.7,0
2112,1448,34,Male,Bangalore,Home & Furniture,Credit Card,2025-01-27,6295.19,0
3176,1515,20,Male,Ahmedabad,Home & Furniture,Credit Card,2025-01-27,4423.22,1
2035,1419,49,Male,Chennai,Electronics,COD,2025-01-27,8371.33,0
1673,1125,27,Male,Bangalore,Electronics,UPI,2025-01-27,13477.47,0
1147,1481,28,Female,Pune,Fashion,Credit Card,2025-01-27,2526.49,1
2325,1253,29,Female,Hyderabad,Fashion,UPI,2025-01-27,2749.17,0
1118,1905,44,Female,Hyderabad,Beauty,Credit Card,2025-01-27,953.9,1
3582,1413,30,Female,Mumbai,Grocery,Credit Card,2025-01-27,1259.52,1
1706,2076,22,Female,Hyderabad,Beauty,UPI,2025-01-28,1411.78,1
2520,1226,21,Male,Pune,Home & Furniture,Debit Card,2025-01-28,4969.56,1
1416,1878,29,Female,Chennai,Sports,Net Banking,2025-01-28,4112.59,0
3689,1644,55,Male,Mumbai,Electronics,Debit Card,2025-01-28,8493.28,1
2977,1044,44,Female,Bangalore,Electronics,Credit Card,2025-01-28,8164.32,1
3448,1962,61,Female,Pune,Beauty,UPI,2025-01-28,1369.32,0
2159,1350,37,Female,Bangalore,Grocery,UPI,2025-01-28,1075.48,1
1749,1327,23,Male,Hyderabad,Grocery,Credit Card,2025-01-29,1393.19,1
564,1667,32,Male,Bangalore,Books,Debit Card,2025-01-29,858.06,0
3345,1552,36,Male,Hyderabad,Fashion,UPI,2025-01-29,1490.65,0
3923,1238,52,Male,Pune,Books,COD,2025-01-29,730.15,0
1059,1081,57,Female,Pune,Sports,UPI,2025-01-29,3017.99,0
2212,1022,18,Male,Hyderabad,Grocery,UPI,2025-01-30,1423.1,1
2929,1839,54,Female,Mumbai,Home & Furniture,Credit Card,2025-01-30,9734.83,1
103,2056,37,Female,Bangalore,Fashion,UPI,2025-01-30,1785.15,1
739,1665,28,Male,Bangalore,Grocery,UPI,2025-01-30,1002.15,0
371,2119,25,Female,Bangalore,Fashion,UPI,2025-01-30,3199.26,0
3815,2116,46,Male,Pune,Electronics,Credit Card,2025-01-30,16569.57,0
1482,1071,61,Female,Mumbai,Fashion,Debit Card,2025-01-30,2313.97,0
365,2150,40,Male,Delhi,Home & Furniture,Credit Card,2025-01-30,13584.74,1
1699,1587,59,Male,Pune,Grocery,UPI,2025-01-30,1634.49,0
2328,1756,63,Male,Mumbai,Home & Furniture,UPI,2025-01-30,7006.36,0
3568,1412,22,Female,Delhi,Grocery,Debit Card,2025-01-31,2573.5,1
2163,1782,34,Male,Hyderabad,Fashion,Net Banking,2025-01-31,2267.12,1
1888,1775,39,Male,Delhi,Electronics,Net Banking,2025-01-31,9497.78,1
2833,1123,32,Male,Bangalore,Grocery,Debit Card,2025-01-31,1763.94,1
1767,2004,25,Male,Delhi,Fashion,Net Banking,2025-01-31,2628.68,1
1700,1986,23,Female,Chennai,Electronics,UPI,2025-01-31,16451.85,1
3661,1852,63,Male,Kolkata,Fashion,Credit Card,2025-01-31,2534.87,1
1664,1836,28,Female,Delhi,Grocery,Debit Card,2025-01-31,1639.68,1
3466,2191,26,Female,Kolkata,Grocery,Credit Card,2025-01-31,1277.63,0
410,1791,50,Male,Kolkata,Electronics,Debit Card,2025-01-31,9170.26,1
2687,1440,62,Male,Mumbai,Grocery,COD,2025-01-31,1077.75,1
2435,1883,52,Female,Delhi,Fashion,COD,2025-02-01,1866.37,1
1950,1142,64,Female,Delhi,Fashion,Debit Card,2025-02-01,2135.48,1
1529,1715,49,Female,Hyderabad,Electronics,UPI,2025-02-01,8219.31,1
3528,1568,64,Female,Delhi,Books,Debit Card,2025-02-01,438.77,1
3005,1182,29,Female,Chennai,Fashion,UPI,2025-02-01,1660.96,0
2738,1849,38,Female,Kolkata,Grocery,Net Banking,2025-02-01,2070.59,0
597,1373,52,Female,Mumbai,Books,COD,2025-02-01,368.16,0
2538,1306,57,Female,Chennai,Home & Furniture,Credit Card,2025-02-01,6893.94,1
2585,1557,33,Female,Pune,Beauty,COD,2025-02-01,1952.77,0
642,1267,25,Male,Pune,Home & Furniture,UPI,2025-02-01,6134.59,1
1581,1731,52,Female,Kolkata,Fashion,UPI,2025-02-02,2661.48,1
1351,1355,49,Female,Ahmedabad,Fashion,COD,2025-02-02,1866.93,1
215,1008,61,Female,Delhi,Electronics,Debit Card,2025-02-02,13202.87,0
1108,1587,61,Female,Delhi,Home & Furniture,Credit Card,2025-02-02,4684.33,0
268,1016,42,Female,Chennai,Electronics,UPI,2025-02-02,11564.57,1
1953,1243,23,Female,Mumbai,Beauty,Credit Card,2025-02-02,1492.86,1
2209,1514,53,Male,Kolkata,Beauty,Debit Card,2025-02-02,1421.43,0
1565,1872,34,Male,Chennai,Fashion,UPI,2025-02-02,2338.82,1
2946,1695,41,Male,Delhi,Grocery,COD,2025-02-02,1975.88,0
2787,2195,34,Female,Hyderabad,Fashion,UPI,2025-02-02,1684.83,0
418,1379,44,Male,Hyderabad,Electronics,UPI,2025-02-03,8345.96,1
3694,1454,44,Female,Kolkata,Sports,Credit Card,2025-02-03,3085.67,0
3612,1042,40,Male,Kolkata,Grocery,Credit Card,2025-02-03,1112.72,1
510,1028,47,Female,Bangalore,Beauty,Credit Card,2025-02-03,3290.27,1
1751,1453,42,Female,Mumbai,Home & Furniture,UPI,2025-02-04,6084.75,0
1264,1398,48,Male,Pune,Sports,COD,2025-02-04,1588.64,1
3319,1732,40,Male,Mumbai,Grocery,UPI,2025-02-04,2743.28,0
2597,1153,60,Female,Mumbai,Beauty,UPI,2025-02-04,2565.47,0
1879,1998,54,Male,Ahmedabad,Home & Furniture,UPI,2025-02-04,3917.55,1
2204,2067,25,Female,Ahmedabad,Fashion,UPI,2025-02-04,1844.74,1
2323,1049,31,Female,Bangalore,Home & Furniture,Net Banking,2025-02-05,4633.97,0
1415,2056,42,Female,Delhi,Home & Furniture,UPI,2025-02-05,5267.97,1
1834,1856,32,Male,Chennai,Fashion,Net Banking,2025-02-05,2532.17,1
126,1563,61,Female,Delhi,Electronics,Credit Card,2025-02-05,8967.06,1
1251,1339,41,Male,Mumbai,Electronics,COD,2025-02-05,18066.75,1
3883,1043,45,Female,Mumbai,Grocery,Debit Card,2025-02-05,1517.92,0
1961,1133,64,Male,Mumbai,Electronics,COD,2025-02-05,5951.56,0
2842,1058,37,Female,Chennai,Beauty,COD,2025-02-05,2557.35,1
1259,1292,45,Female,Bangalore,Electronics,Net Banking,2025-02-05,9880.24,1
1918,1347,41,Female,Hyderabad,Electronics,UPI,2025-02-05,5532.44,1
613,1517,30,Male,Mumbai,Books,UPI,2025-02-06,716.02,0
538,1823,59,Female,Pune,Fashion,Debit Card,2025-02-06,1351.07,1
1262,1948,52,Female,Delhi,Grocery,Credit Card,2025-02-06,737.62,1
336,2002,28,Male,Hyderabad,Fashion,Net Banking,2025-02-06,2991.22,1
153,1663,30,Female,Pune,Beauty,UPI,2025-02-06,2202.55,0
2532,1985,57,Male,Chennai,Fashion,UPI,2025-02-06,1288.63,1
451,1977,51,Male,Ahmedabad,Sports,Credit Card,2025-02-06,1629.99,1
400,1022,63,Female,Delhi,Fashion,Credit Card,2025-02-06,1923.73,1
470,1264,55,Male,Chennai,Fashion,Credit Card,2025-02-06,1563.4,1
1128,1028,60,Female,Mumbai,Home & Furniture,UPI,2025-02-06,7722.96,1
1004,1285,42,Male,Mumbai,Grocery,Debit Card,2025-02-06,1064.57,1
3118,1557,50,Female,Chennai,Grocery,Debit Card,2025-02-06,929.48,1
3068,1928,59,Male,Bangalore,Electronics,Credit Card,2025-02-07,8551.2,1
2980,1357,53,Male,Delhi,Electronics,UPI,2025-02-07,9042.26,0
3125,1110,44,Female,Bangalore,Grocery,UPI,2025-02-07,1014.18,1
1455,1590,41,Female,Pune,Grocery,UPI,2025-02-07,2251.28,0
3225,1989,48,Male,Bangalore,Grocery,COD,2025-02-07,1230.67,0
954,2160,43,Male,Delhi,Electronics,Net Banking,2025-02-07,13122.85,0
3254,1618,27,Female,Chennai,Electronics,Credit Card,2025-02-07,4668.73,1
2658,1526,39,Male,Mumbai,Electronics,COD,2025-02-07,10147.63,0
3540,1097,44,Female,Ahmedabad,Home & Furniture,Credit Card,2025-02-07,9177.94,0
3213,1421,62,Male,Bangalore,Fashion,UPI,2025-02-07,1878.09,1
2246,2014,43,Female,Delhi,Fashion,UPI,2025-02-07,2089.73,1
3784,1757,59,Female,Hyderabad,Beauty,Credit Card,2025-02-07,1026.47,1
3231,1330,30,Female,Chennai,Electronics,Credit Card,2025-02-07,10861.48,0
1978,2133,35,Male,Hyderabad,Beauty,Debit Card,2025-02-07,1042.33,1
3439,1261,42,Male,Bangalore,Grocery,Debit Card,2025-02-07,863.38,0
808,1325,30,Male,Kolkata,Home & Furniture,UPI,2025-02-07,9342.74,0
2859,1340,46,Female,Mumbai,Beauty,UPI,2025-02-07,1477.51,0
2311,1197,34,Male,Delhi,Grocery,Debit Card,2025-02-07,950.96,1
2215,1107,33,Male,Mumbai,Electronics,UPI,2025-02-08,6508.32,0
2844,1637,38,Male,Pune,Electronics,Debit Card,2025-02-08,8603.26,1
1198,1593,42,Male,Hyderabad,Fashion,UPI,2025-02-08,3077.61,0
2335,1703,48,Female,Chennai,Grocery,UPI,2025-02-08,1374.39,1
3046,1427,23,Female,Hyderabad,Beauty,COD,2025-02-08,1971.69,1
2374,1491,39,Male,Bangalore,Fashion,Credit Card,2025-02-09,1646.3,1
3696,1620,23,Female,Mumbai,Electronics,UPI,2025-02-09,3240.05,1
3598,1175,45,Female,Kolkata,Grocery,Credit Card,2025-02-09,955.94,0
2624,1088,56,Male,Hyderabad,Electronics,UPI,2025-02-09,11310.86,0
1963,2030,36,Female,Bangalore,Home & Furniture,Net Banking,2025-02-09,3908.88,1
1361,1534,49,Male,Ahmedabad,Books,Debit Card,2025-02-09,1083.7,1
1071,1933,62,Female,Chennai,Books,Debit Card,2025-02-09,698.81,1
286,1252,30,Male,Mumbai,Sports,Debit Card,2025-02-09,3007.17,0
1362,1425,27,Male,Mumbai,Sports,COD,2025-02-09,1176.5,0
1560,1306,30,Female,Bangalore,Grocery,UPI,2025-02-10,1030.64,1
3792,1924,26,Female,Bangalore,Electronics,Credit Card,2025-02-10,7596.72,1
765,1110,56,Male,Bangalore,Fashion,UPI,2025-02-11,3215.58,1
3019,2053,59,Male,Delhi,Electronics,Credit Card,2025-02-11,6997.14,1
3444,1108,50,Male,Chennai,Beauty,UPI,2025-02-11,1369.74,0
197,1337,59,Male,Mumbai,Electronics,UPI,2025-02-11,8099.81,1
2966,1256,57,Male,Mumbai,Electronics,UPI,2025-02-11,11913.92,1
3425,1103,21,Female,Hyderabad,Grocery,Net Banking,2025-02-11,1196.73,1
2300,2169,28,Female,Mumbai,Grocery,Credit Card,2025-02-11,497.79,1
1635,1591,26,Female,Chennai,Electronics,Credit Card,2025-02-11,12509.33,1
1030,1442,40,Male,Pune,Fashion,COD,2025-02-11,2859.37,1
3791,1831,61,Female,Delhi,Fashion,UPI,2025-02-11,2212.37,1
2203,1087,52,Male,Pune,Fashion,Debit Card,2025-02-11,1714.77,1
2029,1763,27,Female,Pune,Grocery,Debit Card,2025-02-11,1321.0,0
2139,1920,19,Female,Mumbai,Electronics,COD,2025-02-11,12602.26,0
2229,1922,43,Male,Chennai,Fashion,UPI,2025-02-11,3004.51,0
1759,1782,20,Male,Mumbai,Books,Net Banking,2025-02-12,1012.34,0
2794,1559,22,Female,Hyderabad,Grocery,COD,2025-02-12,749.16,1
3137,1783,42,Male,Mumbai,Fashion,UPI,2025-02-12,2627.96,1
2064,1464,40,Female,Hyderabad,Home & Furniture,Net Banking,2025-02-12,4179.14,1
3742,2068,38,Male,Chennai,Electronics,COD,2025-02-12,10141.68,1
2504,2152,27,Male,Bangalore,Home & Furniture,Debit Card,2025-02-12,5040.86,1
3381,1843,31,Female,Kolkata,Fashion,Debit Card,2025-02-12,4284.52,1
2120,1663,40,Female,Mumbai,Beauty,UPI,2025-02-12,2144.49,0
